,id,rooms,metro,area,floor,parking,price,renovation,room_area,balcony,windows,bathroom,allowed_children_pets,ceiling_height,city
8637,273639041,2,Медведково,66.0,2,unknown,55000.0,Косметический,18.0,Лоджия (2),Во двор,Раздельный (1),Можно с детьми,2.64,Москва
8639,273855118,2,Медведково,60.0,4,unknown,55000.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,unknown,Можно с детьми,2.64,Москва
8646,274344812,2,Медведково,54.0,7,unknown,40000.0,Косметический,17.5,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,2.64,Москва
8647,274643299,3,Медведково,79.0,5,наземная,60000.0,Косметический,17.666666666666668,Лоджия (2),Во двор,Раздельный (1),Можно с детьми,3.0,Москва
8662,273410927,2,Медведково,47.0,6,наземная,35000.0,Косметический,14.0,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,2.64,Москва
8664,221667313,1,Медведково,42.0,13,наземная,35000.0,Евроремонт,17.666666666666668,Лоджия (1),Во двор,Совмещенный (1),unknown,2.74,Москва
8665,274921110,2,Медведково,44.0,7,unknown,35000.0,Косметический,14.5,Лоджия (1),Во двор,Совмещенный (1),Можно с детьми,2.64,Москва
8670,271439435,2,Медведково,47.0,3,unknown,38000.0,Косметический,15.0,Балкон (1),Во двор,Раздельный (1),unknown,2.7,Москва
8673,267965006,2,Медведково,47.0,1,unknown,40000.0,Евроремонт,13.5,Балкон (1),Во двор,Раздельный (1),Можно с детьми,2.64,Москва
8675,268130869,2,Медведково,49.0,7,unknown,40000.0,Косметический,10.0,unknown,На улицу,Раздельный (1),"Можно с детьми, Можно с животными",2.7,Москва
8677,269254140,2,Медведково,51.1,8,unknown,40000.0,Косметический,15.0,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,2.48,Москва
8679,273761245,2,Медведково,51.0,3,unknown,42000.0,Косметический,15.5,Балкон (1),На улицу,Раздельный (1),Можно с детьми,3.0,Москва
8680,274340108,2,Медведково,50.2,9,unknown,43000.0,Евроремонт,10.5,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,2.64,Москва
8682,274054517,1,Медведково,47.0,9,unknown,45000.0,Евроремонт,17.666666666666668,unknown,Во двор,Совмещенный (1),unknown,2.48,Москва
8683,274893072,2,Медведково,54.0,3,unknown,45000.0,Косметический,17.666666666666668,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,2.74,Москва
8684,273402526,2,Медведково,53.0,3,unknown,45000.0,Косметический,16.5,Балкон (1),На улицу,Раздельный (1),Можно с детьми,3.0,Москва
8685,274522048,2,Медведково,69.0,4,наземная,45000.0,Косметический,9.5,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,2.65,Москва
8686,274664973,2,Медведково,54.0,15,наземная,45000.0,Евроремонт,18.5,Балкон (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными",2.64,Москва
8687,274745005,2,Медведково,44.0,5,unknown,46000.0,Косметический,17.666666666666668,Балкон (1),Во двор,Раздельный (1),Можно с детьми,2.6,Москва
8690,272043391,2,Медведково,56.0,7,unknown,50000.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,Совмещенный (1),unknown,3.0,Москва
8691,274952700,2,Медведково,43.0,2,unknown,50000.0,Косметический,17.666666666666668,Балкон (1),Во двор,Раздельный (2),Можно с детьми,2.6,Москва
8692,268736154,3,Медведково,60.0,4,unknown,50000.0,Косметический,15.0,Балкон (1),Во двор,Раздельный (1),Можно с детьми,2.64,Москва
8693,189756141,3,Медведково,65.0,5,наземная,50000.0,Косметический,15.333333333333334,Балкон (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными",2.48,Москва
8694,272779706,3,Медведково,64.1,9,unknown,50000.0,Косметический,9.833333333333334,"Балкон (1), Лоджия (1)",На улицу и двор,Раздельный (1),Можно с детьми,2.64,Москва
8695,274550322,2,Медведково,53.0,20,unknown,52000.0,Косметический,17.666666666666668,unknown,Во двор,Совмещенный (1),Можно с детьми,3.0,Москва
8696,274352216,2,Медведково,65.0,5,наземная,53000.0,Евроремонт,17.0,Лоджия (1),На улицу и двор,Совмещенный (1),Можно с детьми,2.64,Москва
8697,274981434,2,Медведково,54.0,4,unknown,55000.0,Косметический,17.666666666666668,"Балкон (1), Лоджия (1)",Во двор,Раздельный (1),Можно с детьми,3.0,Москва
8698,271260353,3,Медведково,74.0,7,наземная,55000.0,Косметический,16.333333333333332,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,2.64,Москва
8699,274899184,2,Медведково,58.7,11,unknown,55000.0,Евроремонт,17.666666666666668,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными",2.64,Москва
8700,232555857,3,Медведково,78.0,4,наземная,55000.0,Евроремонт,16.666666666666668,Лоджия (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными",2.64,Москва
8701,274094876,2,Медведково,60.0,7,открытая,60000.0,Евроремонт,17.666666666666668,Балкон (2),Во двор,Раздельный (1),unknown,3.0,Москва
8702,274473268,2,Медведково,50.2,12,наземная,60000.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,2.6,Москва
8703,274378811,3,Медведково,52.0,2,unknown,60000.0,Косметический,17.666666666666668,Балкон (1),На улицу и двор,Раздельный (1),"Можно с детьми, Можно с животными",2.6,Москва
8704,274945512,2,Медведково,50.0,8,unknown,60000.0,Косметический,14.5,Лоджия (1),На улицу и двор,Совмещенный (1),Можно с детьми,3.0,Москва
8705,274831299,3,Медведково,84.6,14,наземная,60000.0,Косметический,12.333333333333334,"Балкон (1), Лоджия (1)",На улицу и двор,Раздельный (1),Можно с детьми,3.0,Москва
8706,273401528,2,Медведково,60.0,10,наземная,62000.0,Дизайнерский,16.0,Лоджия (2),Во двор,Раздельный (1),Можно с детьми,3.0,Москва
8707,273859388,2,Медведково,60.0,17,подземная,78000.0,Косметический,17.666666666666668,unknown,Во двор,"Совмещенный (1), Раздельный (1)",Можно с детьми,3.0,Москва
8708,271673972,2,Медведково,48.0,4,наземная,80000.0,Косметический,17.666666666666668,unknown,Во двор,Совмещенный (1),Можно с детьми,2.7,Москва
8710,271051254,4,Медведково,110.0,4,unknown,110000.0,Евроремонт,15.0,Лоджия (1),Во двор,Совмещенный (2),unknown,3.0,Москва
8711,273449903,3,Медведково,60.0,14,подземная,120000.0,Косметический,17.666666666666668,unknown,Во двор,Совмещенный (1),Можно с детьми,3.0,Москва
8722,274970355,2,Медведково,42.1,3,наземная,35000.0,Косметический,9.5,Лоджия (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными",2.64,Москва
8724,274631062,2,Медведково,44.0,7,unknown,35000.0,Косметический,14.5,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными",2.64,Москва
8725,274618910,2,Медведково,45.0,3,unknown,35000.0,Косметический,14.5,unknown,Во двор,Раздельный (1),Можно с детьми,2.64,Москва
8728,274110384,2,Медведково,50.0,8,unknown,39900.0,Косметический,14.0,unknown,Во двор,Раздельный (1),"Можно с детьми, Можно с животными",2.5,Москва
8729,274409038,2,Медведково,58.0,9,наземная,40000.0,Косметический,16.0,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,3.0,Москва
8730,274096222,2,Медведково,45.0,8,unknown,40000.0,Косметический,14.0,Балкон (1),Во двор,unknown,Можно с детьми,2.64,Москва
8734,274569368,2,Медведково,48.0,5,unknown,41000.0,Косметический,16.0,Балкон (1),Во двор,Раздельный (1),unknown,2.64,Москва
8736,273599310,3,Медведково,59.7,7,наземная,43000.0,Косметический,8.833333333333334,Балкон (1),Во двор,Раздельный (1),unknown,2.64,Москва
8737,274620830,2,Медведково,63.0,6,unknown,45000.0,Косметический,17.0,Лоджия (2),Во двор,Раздельный (1),Можно с детьми,3.0,Москва
8739,244150785,2,Медведково,52.0,3,unknown,45000.0,Евроремонт,15.5,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,2.48,Москва
8741,273496792,2,Медведково,45.0,4,наземная,46000.0,Евроремонт,9.5,unknown,Во двор,Совмещенный (1),unknown,2.64,Москва
8743,273550694,2,Медведково,51.0,2,открытая,52500.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными",3.0,Москва
8744,274657752,3,Медведково,63.0,4,открытая,54500.0,Косметический,17.666666666666668,Балкон (1),На улицу и двор,Раздельный (1),Можно с детьми,3.0,Москва
8745,274881361,2,Медведково,54.0,4,unknown,55000.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,Раздельный (1),unknown,3.0,Москва
8746,273441096,3,Медведково,65.0,4,наземная,55000.0,Косметический,13.0,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,2.64,Москва
8748,274522898,2,Медведково,55.0,16,unknown,60000.0,Евроремонт,16.0,Балкон (1),Во двор,Раздельный (1),unknown,3.0,Москва
8749,155011589,2,Медведково,60.0,14,наземная,60000.0,Евроремонт,16.5,Лоджия (1),На улицу и двор,Раздельный (1),unknown,2.48,Москва
8750,241722309,3,Медведково,64.0,8,наземная,62000.0,Косметический,16.0,"Балкон (1), Лоджия (1)",Во двор,Раздельный (1),Можно с детьми,2.75,Москва
8751,273345484,3,Медведково,80.0,10,наземная,63000.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,unknown,Можно с детьми,3.0,Москва
8760,272781274,2,Медведково,47.0,5,unknown,40000.0,Косметический,11.25,Балкон (2),На улицу и двор,Раздельный (1),unknown,2.64,Москва
8763,274377074,2,unknown,50.0,15,unknown,45000.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,unknown,Можно с детьми,2.64,Москва
8765,206084947,2,Бабушкинская,45.0,6,unknown,45000.0,Евроремонт,17.666666666666668,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,2.5,Москва
